OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,SHAPEAREA,SHAPELEN
2,51,685,920200,51685920200,9202,Census Tract 9202,G5020,S,4477218,2623,51685920200,920200,0,920200,89.2,9.3,1.5,8379,0.038,0.1,71676,0.239,0.219,0.562,0.093,779.247,163641.87,50076.028804,113565.841196,145.737925,9.3,779.247,84275.596301,79366.273699,101.849957,9.5,125990.540386,25449.91,35.290974,4479413.86032688,10968.2961090742
3,24,031,700815,24031700815,7008.15,Census Tract 7008.15,G5020,S,2736884,752,24031700815,700815,0,700815,87.2,12.3,0.4,8122,0.058,0.09,90962,0.245,0.326,0.797,0.059,478.718802,100530.94842,92077.212114,8453.736306,17.659086,5.9,479.198,93315.385652,7316.194348,15.267581,8.6,129820.391812,23617.37,32.323511,2737428.11373288,7923.44501632958
4,24,031,703209,24031703209,7032.09,Census Tract 7032.09,G5020,S,1801781,1974,24031703209,703209,0,703209,79.1,17,3.8,5749,0.124,0.174,62766,0.233,0.252,0.5,0.156,895.947156,188148.90276,121981.108508,66167.794252,73.85234,15.6,896.844,130243.561933,58093.678067,64.775678,16.1,143517.947039,46663.3,51.526075,1803588.42856681,6243.22418876533
5,24,031,700306,24031700306,7003.06,Census Tract 7003.06,G5020,S,3059800,4451,24031700306,700306,0,700306,90.2,8.8,0.9,6968,0.053,0.028,110000,0.177,0.166,0.838,0.053,368.934696,77476.28616,72996.487158,4479.799002,12.142526,5.3,369.304,73999.785632,3554.054368,9.623655,6.1,80968.145466,6729.11,16.113547,3064023.9622086,7195.32341100342
6,24,031,703210,24031703210,7032.10,Census Tract 7032.10,G5020,S,1259008,15129,24031703210,703210,0,703210,86.7,13.3,0,3497,0.11,0.125,88021,0.177,0.241,0.849,0.094,328.718,69030.78,41876.330572,27154.449428,82.607127,9.4,328.718,44276.601341,24754.178659,75.305212,7.5,45560.384489,9312.62,35.639554,1274017.26027902,5876.40008042132
7,24,031,704600,24031704600,7046,Census Tract 7046,G5020,S,1897599,0,24031704600,704600,0,704600,71.6,16.7,11.7,5279,0.035,0.035,148669,0.023,0.066,0.709,0.047,248.113,52103.73,48695.315679,3408.414321,13.737347,4.7,247.864887,48442.837339,3608.788931,14.5595,5.2,51569.094872,6154.03,22.388694,1897415.27922523,8161.35361961406
8,24,031,704401,24031704401,7044.01,Census Tract 7044.01,G5020,S,2256921,2057,24031704401,704401,0,704401,77.1,22.6,0.4,3206,0.025,0.078,158816,0.105,0.118,0.811,0.036,115.531416,24261.59736,22405.616917,1855.980443,16.064725,3.6,115.416,22302.937478,1934.422522,16.760436,3.5,20644.996869,2639.8,23.80775,2258767.13972123,7535.10680968813
9,24,031,705800,24031705800,7058,Census Tract 7058,G5020,S,6776285,2893969,24031705800,705800,0,705800,87.4,9.9,2.7,6314,0.029,0.026,185500,0.042,0.028,0.828,0.026,164.164,34474.44,33783.182322,691.257678,4.210775,2.6,164.328164,33898.752445,610.161995,3.71307,2.5,30464.259148,2993.99,18.79172,9669307.31197076,19101.0997547995
10,24,031,705300,24031705300,7053,Census Tract 7053,G5020,S,1055289,0,24031705300,705300,0,705300,75,21.4,3.6,1955,0.027,0.019,250000,0.009,0.026,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055184.0847517,5656.53492545397
11,24,031,701704,24031701704,7017.04,Census Tract 7017.04,G5020,S,1277483,8037,24031701704,701704,0,701704,76.9,21,2.1,2738,0.116,0.051,98897,0.327,0.212,0.657,0.117,320.346,67272.66,27623.606915,39649.053085,123.769465,11.7,320.346,27691.912606,39580.747394,123.55624,11.8,41242.601011,28562.66,85.927026,1285398.05224537,6598.20530947506
